"","Species","Body_length","Proboscis_length","Head_diameter"
"520","1181.2",9.0625,5.7475,2.755
"521","1181.2",9.0625,5.7475,2.755
"522","1181.2",9.0625,5.7475,2.755
"523","1181.2",8.54625,0,2.423333333
"524","1181.2",8.54625,0,2.423333333
"525","1181.2",5.038,0.977,1.451
"526","1181.2",5.038,0.977,1.451
"527","1181.2",5.038,0.977,1.451
"528","1181.2",5.038,0.977,1.451
"529","1181.2",5.038,0.977,1.451
"530","1181.2",5.038,0.977,1.451
"531","1181.2",5.038,0.977,1.451
"532","1181.2",5.038,0.977,1.451
"533","1181.2",5.038,0.977,1.451
"534","1181.2",5.038,0.977,1.451
"535","1181.2",5.038,0.977,1.451
"536","1181.2",5.038,0.977,1.451
"537","1181.2",5.038,0.977,1.451
"538","1181.2",5.038,0.977,1.451
"539","1181.2",4.276,1.143,1.215
"540","1181.2",4.276,1.143,1.215
"541","1181.2",4.276,1.143,1.215
"542","1181.2",4.276,1.143,1.215
"543","1181.2",4.276,1.143,1.215
"544","1181.2",4.276,1.143,1.215
"545","1181.2",4.276,1.143,1.215
"546","1181.2",4.276,1.143,1.215
"547","1181.2",4.276,1.143,1.215
"548","1181.2",4.276,1.143,1.215
"549","1181.2",4.276,1.143,1.215
"550","1181.2",4.276,1.143,1.215
"551","1181.2",4.276,1.143,1.215
"552","1181.2",4.276,1.143,1.215
"553","1181.2",4.276,1.143,1.215
"554","1181.2",4.276,1.143,1.215
"555","1181.2",4.276,1.143,1.215
"556","1181.2",14.33,4.34,4.52
"557","1181.2",7.834,1.421111111,2.148
"558","1181.2",7.834,1.421111111,2.148
"559","1181.2",7.834,1.421111111,2.148
"560","1181.2",7.834,1.421111111,2.148
"561","1181.2",7.834,1.421111111,2.148
"562","1181.2",7.834,1.421111111,2.148
"563","1181.2",7.834,1.421111111,2.148
"564","1181.2",7.834,1.421111111,2.148
"565","1181.2",7.834,1.421111111,2.148
"566","1181.2",7.834,1.421111111,2.148
"567","1181.2",7.834,1.421111111,2.148
"568","1181.2",7.834,1.421111111,2.148
"569","1181.2",7.834,1.421111111,2.148
"570","1181.2",7.834,1.421111111,2.148
"571","1181.2",7.834,1.421111111,2.148
"572","1181.2",7.834,1.421111111,2.148
"573","1181.2",4.4,0.958181818,1.320909091
"574","1181.2",4.4,0.958181818,1.320909091
